Name,project_id,description,emp_id,projectManagerId,startDate,endDate,status,url,Approval
InnovatePro,8c8b4628-42e5-47a7-a96d-cfa9c659d58f,"['Azure', 'Leadership', 'JavaScript']",Emp_11,EMP_349,2023-01-17,2024-04-18,active,https://www.collins.com/,Approved
SwiftWave,b9be14fa-017b-4876-aa44-4ddc7c646b16,"['Test-Driven Development', 'Azure', 'Product Management']",Emp_11,EMP_37,2021-11-22,2024-05-06,active,https://perkins.com/,Approved
SilverLinx POS System,116766a3-f057-4392-a022-1275ba2c494e,"['Java', 'Scrum', 'PHP']",Emp_11,EMP_884,2022-06-12,2024-04-23,active,https://www.montgomery-stevens.net/,Approved
MetaMind Chatbot Builder,05d2d3ef-3276-48c4-80b0-2743a7265e4c,"['Google Cloud Platform', 'AWS', 'Agile Methodologies']",Emp_11,EMP_613,2023-09-18,2024-04-28,active,http://www.davenport-saunders.com/,Approved
DataCraft,2c26fcb7-05bc-44f1-ae9c-aa38255f2b8a,"['Django', 'C#', 'MySQL']",Emp_12,EMP_185,2021-09-30,2024-04-19,active,https://andrade-murray.com/,Approved
AgileTech,85fdc29d-0cb6-4bd2-ab83-e2631329c65e,"['DevOps', 'Prototyping', 'Cybersecurity']",Emp_12,EMP_195,2020-03-28,2024-05-08,completed,https://www.wallace.info/,Approved
DataBridge,58d638e6-128b-413b-a2a6-f968e6f7ccd8,"['MongoDB', 'Agile Methodologies', 'Accessibility']",Emp_12,EMP_977,2021-09-15,2024-05-07,active,https://www.young.com/,Approved
MetaMind Chatbot Builder,aeb0b422-6c1f-40c2-931f-8c096a09acbc,"['Data Science', 'Scrum', '.NET']",Emp_12,EMP_77,2022-04-05,2024-05-06,active,https://greene-mitchell.com/,Rejected
DataLink Inventory Tracker,d56f2d26-0d70-48c3-8283-e88f7b4173ae,"['C#', 'Machine Learning', 'Prototyping']",Emp_13,EMP_409,2022-12-04,2024-04-26,completed,http://www.miller.net/,Rejected
TechSpark,4319f2fd-af47-4ebd-9a39-506b27f68779,"['Cryptography', 'HTML', 'Microservices']",Emp_13,EMP_388,2021-09-16,2024-05-03,active,http://www.drake-soto.com/,Approved
SilverLinx POS System,4192c5e8-d27a-4800-8e34-35efd49ba3a3,"['SQL', 'Data Visualization', 'Python']",Emp_13,EMP_485,2022-07-16,2024-05-07,active,http://little.com/,Approved
TechNova Backup Solution,7e2bee43-fc6f-4068-af72-046563f82f3d,"['Python', 'DevOps', 'NoSQL']",Emp_13,EMP_488,2020-07-24,2024-04-19,completed,http://www.davis.com/,Rejected
DataSync,2ec4a0e6-ed71-4686-989f-aa3db2fc0075,"['Continuous Deployment', 'C#', 'Interaction Design']",Emp_14,EMP_420,2021-11-28,2024-04-18,active,http://velasquez.com/,Rejected
InnovatePro,81cc2aa8-64f1-447b-8700-a78b6225aeb8,"['Ruby', 'Product Management', 'Swift']",Emp_14,EMP_490,2023-01-15,2024-04-23,active,https://www.mccarthy.com/,Approved
CyberCode Online Store,bd746c48-92a3-443e-8e30-2fcb5fd58909,"['Cybersecurity', 'UI/UX Design', 'Docker']",Emp_14,EMP_421,2021-09-16,2024-04-30,completed,http://www.norris.com/,Approved
FusionSoft Email Client,0a0cf673-9401-4911-973b-1e6653895eea,"['Technical Writing', 'Ruby', 'C#']",Emp_14,EMP_794,2020-05-01,2024-04-24,active,http://www.carroll-bryant.com/,Rejected
TechNova Backup Solution,50736c00-c40b-4200-802e-8c01b8404bdb,"['Machine Learning', 'Node.js', 'Angular']",Emp_15,EMP_493,2020-11-20,2024-04-23,completed,https://wilson.com/,Rejected
NexGen Mobile Scheduler,444b2766-cabd-4069-b0d9-5f85b3f91243,"['Docker', 'Responsive Design', 'React']",Emp_15,EMP_621,2023-04-05,2024-05-05,active,http://www.smith.net/,Rejected
InnovaTech,054bfdf4-0638-4670-83c2-9c73f7206a19,"['Accessibility', 'Artificial Intelligence', 'Support']",Emp_15,EMP_703,2022-11-25,2024-04-21,completed,http://young.org/,Rejected
MetaMind Chatbot Builder,d1534037-37c0-436e-9641-4e135d667fd3,"['Technical Writing', 'MongoDB', 'Azure']",Emp_15,EMP_451,2023-11-04,2024-05-03,active,https://santiago.com/,Rejected
CodeCraft Web Builder,3c65cf17-9fd6-4096-9d32-e6c4dd9476ca,"['Angular', 'SQL', 'MongoDB']",Emp_16,EMP_392,2020-04-13,2024-05-03,active,http://watson.com/,Approved
TechSprint,e9beabf5-fdd7-4281-bfdb-a2c4471e00eb,"['Microservices', 'MongoDB', 'User Research']",Emp_16,EMP_24,2022-05-13,2024-05-01,active,http://hull.com/,Rejected
InnovatePro,98b33697-768b-4d64-b8ec-e3a40c1f18fa,"['Behavior-Driven Development', 'Troubleshooting', 'Data Visualization']",Emp_16,EMP_790,2021-01-30,2024-04-14,active,http://stewart.net/,Rejected
BlueFinity Evoke,d0f16d09-fa4e-4b3c-84e9-15ac70867f4d,"['Microservices', 'Cybersecurity', 'Prototyping']",Emp_16,EMP_821,2021-01-08,2024-05-02,completed,https://martin.com/,Approved
CyberLink,a4f23d35-e416-46f6-bac9-ab033d9da8ae,"['Prototyping', 'DevOps', 'Artificial Intelligence']",Emp_17,EMP_394,2024-01-31,2024-04-26,active,http://wilson.info/,Rejected
DataCraft,ac32f8d4-d686-4974-81fe-05f61c20a706,"['Continuous Integration', 'JavaScript', 'UI/UX Design']",Emp_17,EMP_28,2023-08-14,2024-05-05,completed,https://www.brown.com/,Rejected
TechTrek Data Analyzer,794896d4-9f82-4796-92f1-f1cf44fb5d9c,"['Kotlin', 'Data Analysis', 'Docker']",Emp_17,EMP_447,2022-01-14,2024-05-03,active,http://www.howard.info/,Rejected
ByteBlitz Document Manager,b8d2c505-9e96-4344-9cae-bc99f78d1683,"['Problem Solving', 'CSS', 'Support']",Emp_17,EMP_123,2022-09-10,2024-05-06,completed,http://www.perez.com/,Rejected
PixelPulse,2077db67-fc87-48ce-a7f4-863559a78991,"['Prototyping', 'Leadership', 'PostgreSQL']",Emp_18,EMP_651,2023-02-26,2024-04-12,active,https://woodward.net/,Approved
VortexVision Virtual Assistant,ec88b8a0-66a3-4038-95da-02cc6a605cb2,"['Docker', 'Vue.js', 'MySQL']",Emp_18,EMP_200,2022-06-26,2024-04-25,active,http://www.smith.com/,Approved
TechSpark,44834f40-005f-41f3-840a-88c332eddb06,"['SQL', 'Kotlin', 'Git']",Emp_18,EMP_106,2020-08-03,2024-04-21,completed,http://nelson-smith.com/,Rejected
ByteBlitz Document Manager,22aa1850-22f9-4cc2-834d-746d91618714,"['AWS', 'Kotlin', 'MongoDB']",Emp_18,EMP_636,2021-04-11,2024-04-11,active,https://day-smith.com/,Approved
DataForge Dashboard Creator,d38fff7c-7937-4cdb-bd1b-0ce8cf737653,"['NoSQL', 'Data Analysis', 'Test-Driven Development']",Emp_19,EMP_499,2021-10-04,2024-04-19,active,https://watts-mcguire.info/,Approved
NexGen Mobile Scheduler,09358e94-6c5a-4977-9c05-9d71ca2161f4,"['Cybersecurity', 'Agile Product Management', 'Git']",Emp_19,EMP_779,2020-12-07,2024-04-26,completed,https://www.hill-ellison.com/,Approved
AgileWare,46ec6bf6-a00b-4312-a5d9-2c4620f7cd6a,"['Java', 'MySQL', 'Azure']",Emp_19,EMP_730,2022-03-17,2024-04-29,completed,https://caldwell.com/,Rejected
DataWave,7b91315d-9de9-4acf-bd47-ab4fd8a75ce3,"['.NET', 'Agile Methodologies', 'Support']",Emp_19,EMP_550,2023-05-14,2024-05-04,active,http://www.hicks-tran.info/,Approved
SwiftShift Time Tracker,1da4c262-ef27-46e1-b340-5ea0d0e400fc,"['Docker', 'Kubernetes', 'Kotlin']",Emp_20,EMP_158,2020-07-13,2024-04-17,completed,https://www.romero.org/,Approved
AgileWare,fae61153-e98a-4fbc-8279-87d913c87198,"['Git', 'Prototyping', 'Leadership']",Emp_20,EMP_287,2022-03-14,2024-04-24,active,https://www.stewart-brown.com/,Rejected
PixelPulse,8cbf9284-37c3-4b77-be24-606fd58484b3,"['Documentation', 'Requirements Analysis', 'Penetration Testing']",Emp_20,EMP_732,2024-03-26,2024-04-09,completed,https://gonzales.com/,Approved
ByteBoost,5f2e661a-cfe8-47be-80ec-bfe94bab6019,"['Swift', 'Kotlin', 'Data Visualization']",Emp_20,EMP_967,2020-07-10,2024-04-14,active,https://freeman-aguilar.com/,Approved
DataForge Dashboard Creator,4a59b54c-c65c-4133-a266-8526c7aac874,"['Continuous Integration', 'AWS', 'Node.js']",Emp_21,EMP_852,2024-03-18,2024-04-17,completed,https://garcia.com/,Approved
TechNova Backup Solution,cea1e27b-d49d-47fc-8017-91796f1bebf4,"['Python', 'DevOps', 'Continuous Integration']",Emp_21,EMP_151,2021-05-17,2024-05-03,active,http://www.moore-rivera.org/,Approved
SwiftCode,2f4b5229-e89f-4dbf-8ff7-5d9c63bf2fdf,"['Leadership', 'Angular', 'Microservices']",Emp_21,EMP_932,2024-03-30,2024-04-13,completed,https://www.miller.com/,Rejected
DataSync,bdaa77a8-eb09-48cd-89c0-3febc16780ed,"['Cybersecurity', 'Interaction Design', 'MongoDB']",Emp_21,EMP_165,2023-09-05,2024-05-09,completed,https://www.weiss-holden.com/,Rejected
LogicLane Project Tracker,e0104874-2668-48c2-b48a-d49b77854d01,"['MongoDB', 'Java', 'CI/CD']",Emp_22,EMP_459,2022-06-03,2024-05-02,completed,http://www.pittman.com/,Rejected
VortexVision Virtual Assistant,777f27a4-e415-4f7b-824c-57fb7fbbccef,"['Continuous Integration', 'Microservices', 'RESTful API']",Emp_22,EMP_245,2022-01-08,2024-04-13,completed,https://www.houston-anthony.com/,Rejected
DataLink Inventory Tracker,63c6a453-ca40-4f06-81fb-b780400103d0,"['Penetration Testing', 'Containerization', 'Continuous Deployment']",Emp_22,EMP_710,2020-03-30,2024-05-08,completed,http://www.moran.com/,Rejected
CodeCraft Web Builder,2d6f03be-007b-48a2-9bca-e43f31121df2,"['Node.js', 'PostgreSQL', 'Azure']",Emp_22,EMP_865,2022-03-06,2024-04-29,active,https://www.simpson-harris.net/,Approved
AgileTech,7595783b-2a15-491a-8079-39d9d1687dcd,"['Requirements Analysis', 'Kotlin', 'Django']",Emp_23,EMP_244,2020-08-19,2024-04-12,completed,http://www.flynn.org/,Approved
SwiftShift Time Tracker,53af80e0-8dc3-4b99-8287-b628da7ab754,"['C#', 'Swift', 'Azure']",Emp_23,EMP_984,2022-04-16,2024-04-09,completed,https://www.roberts-owens.biz/,Approved
PixelWare,80a821a1-bd74-46c0-a362-a40736fda79e,"['C#', 'Interaction Design', 'Continuous Integration']",Emp_23,EMP_318,2020-06-26,2024-05-07,active,http://thompson.com/,Approved
PixelPulse,1ff97f89-c4cd-4ef6-811e-7df931cac876,"['Python', 'Support', 'Documentation']",Emp_23,EMP_793,2023-10-22,2024-04-21,active,http://www.patterson-weeks.com/,Approved
DataCraft,a172e25d-3be1-40cf-9142-0a593144baa9,"['Penetration Testing', 'Interaction Design', 'Support']",Emp_24,EMP_571,2024-02-15,2024-05-06,completed,https://www.fisher.biz/,Approved
NexGen Mobile Scheduler,479f77b1-a981-4403-966b-457579f156d8,"['HTML', 'PostgreSQL', 'Objective-C']",Emp_24,EMP_597,2023-07-05,2024-04-13,active,https://www.swanson-patel.info/,Rejected
InnovatePro,a01cf4f7-4212-4840-86a3-cb240a75eb18,"['Continuous Integration', 'Google Cloud Platform', 'Kubernetes']",Emp_24,EMP_633,2023-12-07,2024-04-20,active,https://collins.net/,Approved
InnovaTech,91345d5b-e556-4efd-ac80-3769bf30ac5c,"['Angular', 'User Stories', 'Google Cloud Platform']",Emp_24,EMP_262,2020-09-28,2024-04-21,completed,https://ingram.net/,Rejected
CatalystCommerce,19a81714-0b61-4e86-a0ad-5fb808b9fec8,"['GraphQL', 'SQL', 'Google Cloud Platform']",Emp_25,EMP_847,2024-04-06,2024-05-03,completed,https://mejia.com/,Rejected
SilverLinx POS System,8ca961d8-275b-483d-adab-88da9069d885,"['Requirements Analysis', 'Penetration Testing', 'Technical Writing']",Emp_25,EMP_856,2021-04-17,2024-04-11,completed,https://jackson.com/,Rejected
Streamline Solutions CRM,7666e687-4eaa-4835-8a94-3c9a42834151,"['Swift', 'Microservices', 'Machine Learning']",Emp_25,EMP_576,2021-08-14,2024-05-08,active,https://www.clark.com/,Approved
CyberCode Online Store,3b9051c8-db3d-49f6-b6e6-1fc2b6211319,"['C#', 'Containerization', 'Machine Learning']",Emp_25,EMP_373,2021-10-22,2024-05-02,completed,https://thomas.biz/,Approved
PixelWorks,c8913aff-8ed4-4954-927c-5ad85cd79642,"['Business Analysis', 'Data Visualization', 'Leadership']",Emp_26,EMP_156,2021-12-10,2024-04-17,active,http://www.conley.com/,Approved
MetaMind Chatbot Builder,5b20bc11-3c0e-48d3-bb21-a7fb2d81aa25,"['Docker', 'JavaScript', 'Penetration Testing']",Emp_26,EMP_583,2023-12-16,2024-04-12,completed,http://chapman.com/,Rejected
TechNova Backup Solution,1040f722-7934-4b8a-8679-905db30f69e9,"['Docker', 'Data Visualization', 'Flask']",Emp_26,EMP_796,2020-01-09,2024-04-21,completed,http://montgomery.com/,Rejected
TechTrek Data Analyzer,bbf9843b-0cb8-4f81-a50f-0ee43b03a29a,"['Git', '.NET', 'Continuous Deployment']",Emp_26,EMP_842,2021-06-05,2024-04-14,active,http://www.buck-taylor.com/,Rejected
DataLink Inventory Tracker,49975912-333a-4b5a-94bf-5aa317d6d10e,"['Accessibility', 'User Research', 'Data Analysis']",Emp_27,EMP_29,2020-05-07,2024-04-11,completed,http://www.lambert-smith.com/,Approved
PixelPulse,bf72fa28-3c50-49c0-92ce-19e9a8aeb0a8,"['Communication', 'Agile Product Management', 'Requirements Analysis']",Emp_27,EMP_240,2021-02-26,2024-04-20,completed,http://wade.net/,Approved
DataCraft,9edf2383-735d-41da-a2a5-e78f990cac33,"['Docker', 'AWS', 'Statistical Analysis']",Emp_27,EMP_209,2022-01-27,2024-04-20,active,http://www.kramer-ramirez.com/,Rejected
TechNova Backup Solution,cb31bf64-fd47-4d53-8c13-11740c067372,"['Data Visualization', 'Containerization', 'Objective-C']",Emp_27,EMP_552,2021-09-03,2024-05-07,completed,https://www.wells-roman.com/,Rejected
AgileTech,758ff364-d6de-4e46-acb0-aa6c1243c33f,"['HTML', 'Interaction Design', 'React']",Emp_28,EMP_198,2023-12-16,2024-04-18,completed,http://davis-andrews.com/,Approved
DataBridge,f8400f02-6034-4d24-8f00-146f14331a45,"['Flask', 'Azure', 'Statistical Analysis']",Emp_28,EMP_572,2023-04-24,2024-05-09,active,https://hall.com/,Approved
InnovaTech,7918c287-acbd-4427-891c-0b74b2abc2a3,"['Microservices', 'Documentation', 'Support']",Emp_28,EMP_461,2020-12-18,2024-04-20,completed,https://case.net/,Approved
CyberCode Online Store,9e23807e-dbfa-4b30-910d-b27029751d71,"['Documentation', 'UI/UX Design', 'Cryptography']",Emp_28,EMP_50,2021-11-10,2024-04-20,active,https://www.rogers.com/,Rejected
DataBridge,7fb2aec5-320e-4de8-b380-93945bf47483,"['MongoDB', 'MySQL', 'Containerization']",Emp_29,EMP_451,2020-03-17,2024-04-11,active,http://www.whitehead-young.com/,Approved
QuickTech Remote Support,a4a00073-fa08-40f2-857e-41436d54ee22,"['Flask', 'Communication', 'Support']",Emp_29,EMP_383,2022-10-28,2024-04-19,active,https://www.hayes.org/,Approved
PixelWorks,37b27536-f3b1-4e8e-a678-5ff3150a6583,"['GraphQL', 'Ruby', 'Test-Driven Development']",Emp_29,EMP_409,2021-12-30,2024-04-20,completed,https://www.rowe-kline.net/,Approved
DataWave,dc86d2ab-f88e-4303-80fa-de8fddcb9153,"['JavaScript', 'Kotlin', 'User Stories']",Emp_29,EMP_203,2023-12-22,2024-05-09,active,https://burns.org/,Approved
EchoTech Task Manager,5be00c12-44ab-4ef6-b1d8-3aa4f1919311,"['Machine Learning', 'MongoDB', 'Angular']",Emp_30,EMP_265,2020-09-26,2024-04-11,active,http://www.rhodes-warner.org/,Approved
DataBridge,1868600c-6ec6-4268-9a21-e92cc43fd394,"['Scrum', 'C#', 'Product Management']",Emp_30,EMP_926,2020-02-07,2024-04-27,active,https://cross.net/,Rejected
CodeCraft Web Builder,6e7872c1-7ed3-4155-980a-91373aa21c75,"['RESTful API', '.NET', 'PostgreSQL']",Emp_30,EMP_696,2021-10-12,2024-04-23,active,https://galvan.com/,Approved
CyberLink,40e145b3-90c9-44d4-80f1-a872b3cdb1e2,"['Containerization', 'Wireframing', 'Information Security']",Emp_30,EMP_960,2023-10-02,2024-04-21,active,https://kline.info/,Rejected
CyberCode Online Store,89fccc18-c484-449d-9e68-1bfb18c21f5d,"['Microservices', 'Vue.js', 'C#']",Emp_31,EMP_718,2023-12-26,2024-04-20,completed,http://www.evans.com/,Rejected
QuickTech Remote Support,3d016ca0-d266-4817-bd84-2946b112cdeb,"['Azure', 'Continuous Integration', 'Google Cloud Platform']",Emp_31,EMP_614,2023-08-26,2024-04-26,completed,https://www.andrews-jimenez.com/,Approved
AgileWare,c4ad41dd-96d0-4f18-b111-9b3da6f1052b,"['Network Security', 'Scrum', 'Vue.js']",Emp_31,EMP_800,2022-05-10,2024-04-28,active,https://www.larson.biz/,Rejected
TechNova Backup Solution,47be546f-5308-489e-b1fc-8b10c94544c9,"['Machine Learning', 'Azure', 'Flask']",Emp_31,EMP_195,2020-10-06,2024-05-05,completed,http://www.blackwell.com/,Approved
TechNova Backup Solution,bc3f5929-d77f-424a-8705-873314939c9e,"['C#', 'Accessibility', 'Containerization']",Emp_32,EMP_893,2020-09-14,2024-04-25,active,https://www.montoya-vang.net/,Rejected
DataForge Dashboard Creator,cefa29db-b73a-44f0-8969-cc2c322af763,"['PHP', 'Requirements Analysis', 'Kotlin']",Emp_32,EMP_364,2020-04-15,2024-04-19,completed,http://underwood.com/,Rejected
CyberLink,94ead531-4d9b-430e-9faa-6a69a18aef5b,"['User Stories', 'Node.js', 'JavaScript']",Emp_32,EMP_289,2021-05-17,2024-04-16,active,http://www.thompson.biz/,Approved
MetaMind Chatbot Builder,1b9a9627-7d47-4175-8832-69c756955d2b,"['Business Analysis', 'Collaboration', 'Vue.js']",Emp_32,EMP_248,2021-11-15,2024-04-18,completed,https://www.james-brown.com/,Approved
CodeCraft,0ac19153-44ca-4710-9f28-604785703e40,"['Azure', 'MySQL', 'Penetration Testing']",Emp_33,EMP_138,2020-04-13,2024-04-21,active,http://patterson-gray.com/,Approved
DataPulse,cd6bc6a5-b807-42df-a035-bc9dd74fe656,"['Python', 'Accessibility', 'Google Cloud Platform']",Emp_33,EMP_104,2021-02-12,2024-04-17,completed,http://www.rodriguez-myers.com/,Approved
SwiftCode,cda24d56-7ee3-4768-a962-e5134345c2f2,"['Product Management', 'Flask', 'Microservices']",Emp_33,EMP_119,2021-04-04,2024-04-21,completed,https://www.fleming-roman.com/,Rejected
DataWave,abaf099e-d49f-45e4-96f2-0cf32ed8b25d,"['.NET', 'Git', 'Information Security']",Emp_33,EMP_251,2021-03-23,2024-04-30,completed,https://patton-vargas.com/,Rejected
CodeCraft,ab0da1a1-1a2f-4eed-a207-b56c5306f1eb,"['Data Analysis', 'Responsive Design', 'Containerization']",Emp_34,EMP_768,2021-06-27,2024-05-04,completed,http://cardenas.com/,Rejected
